! Planar, C4420, 00000001, 24.1.6/3
! Date: 25.09.2024 16:59:15
! Stimulus(Гц),    S21(дБ)
4.50000000000E+09,+0.00000000000E+00
4.53868194842E+09,+0.00000000000E+00
4.57736389685E+09,+0.00000000000E+00
4.61604584527E+09,+0.00000000000E+00
4.65472779370E+09,+0.00000000000E+00
4.69340974212E+09,+0.00000000000E+00
4.73209169054E+09,+0.00000000000E+00
4.77077363897E+09,-9.64327466553E-16
4.80945558739E+09,+0.00000000000E+00
4.84813753582E+09,+0.00000000000E+00
4.88681948424E+09,+0.00000000000E+00
4.92550143266E+09,+0.00000000000E+00
4.96418338109E+09,+0.00000000000E+00
5.00286532951E+09,+0.00000000000E+00
5.04154727794E+09,+0.00000000000E+00
5.08022922636E+09,-9.64327466553E-16
5.11891117479E+09,+0.00000000000E+00
5.15759312321E+09,+0.00000000000E+00
5.19627507163E+09,+0.00000000000E+00
5.23495702006E+09,+0.00000000000E+00
5.27363896848E+09,+0.00000000000E+00
5.31232091691E+09,+0.00000000000E+00
5.35100286533E+09,+0.00000000000E+00
5.38968481375E+09,+0.00000000000E+00
5.42836676218E+09,-9.64327466553E-16
5.46704871060E+09,+0.00000000000E+00
5.50573065903E+09,+0.00000000000E+00
5.54441260745E+09,+0.00000000000E+00
5.58309455587E+09,+0.00000000000E+00
5.62177650430E+09,-9.64327466553E-16
5.66045845272E+09,+0.00000000000E+00
5.69914040115E+09,+0.00000000000E+00
5.73782234957E+09,+0.00000000000E+00
5.77650429799E+09,+0.00000000000E+00
5.81518624642E+09,+0.00000000000E+00
5.85386819484E+09,+0.00000000000E+00
5.89255014327E+09,-9.64327466553E-16
5.93123209169E+09,+0.00000000000E+00
5.96991404011E+09,+0.00000000000E+00
6.00859598854E+09,+0.00000000000E+00
6.04727793696E+09,+0.00000000000E+00
6.08595988539E+09,-9.64327466553E-16
6.12464183381E+09,+0.00000000000E+00
6.16332378223E+09,-9.64327466553E-16
6.20200573066E+09,+0.00000000000E+00
6.24068767908E+09,+0.00000000000E+00
6.27936962751E+09,+0.00000000000E+00
6.31805157593E+09,-9.64327466553E-16
6.35673352436E+09,+0.00000000000E+00
6.39541547278E+09,+0.00000000000E+00
6.43409742120E+09,+0.00000000000E+00
6.47277936963E+09,-9.64327466553E-16
6.51146131805E+09,-9.64327466553E-16
6.55014326648E+09,+0.00000000000E+00
6.58882521490E+09,+0.00000000000E+00
6.62750716332E+09,+0.00000000000E+00
6.66618911175E+09,+0.00000000000E+00
6.70487106017E+09,+0.00000000000E+00
6.74355300860E+09,+0.00000000000E+00
6.78223495702E+09,+0.00000000000E+00
6.82091690544E+09,+0.00000000000E+00
6.85959885387E+09,+0.00000000000E+00
6.89828080229E+09,+0.00000000000E+00
6.93696275072E+09,+0.00000000000E+00
6.97564469914E+09,-9.64327466553E-16
7.01432664756E+09,+0.00000000000E+00
7.05300859599E+09,+0.00000000000E+00
7.09169054441E+09,+0.00000000000E+00
7.13037249284E+09,+0.00000000000E+00
7.16905444126E+09,-9.64327466553E-16
7.20773638968E+09,+0.00000000000E+00
7.24641833811E+09,+0.00000000000E+00
7.28510028653E+09,+0.00000000000E+00
7.32378223496E+09,+0.00000000000E+00
7.36246418338E+09,+0.00000000000E+00
7.40114613181E+09,+0.00000000000E+00
7.43982808023E+09,+0.00000000000E+00
7.47851002865E+09,+0.00000000000E+00
7.51719197708E+09,+0.00000000000E+00
7.55587392550E+09,+0.00000000000E+00
7.59455587393E+09,+0.00000000000E+00
7.63323782235E+09,+0.00000000000E+00
7.67191977077E+09,+0.00000000000E+00
7.71060171920E+09,+0.00000000000E+00
7.74928366762E+09,+0.00000000000E+00
7.78796561605E+09,+0.00000000000E+00
7.82664756447E+09,+0.00000000000E+00
7.86532951289E+09,+0.00000000000E+00
7.90401146132E+09,+0.00000000000E+00
7.94269340974E+09,+0.00000000000E+00
7.98137535817E+09,+0.00000000000E+00
8.02005730659E+09,+0.00000000000E+00
8.05873925501E+09,+0.00000000000E+00
8.09742120344E+09,+0.00000000000E+00
8.13610315186E+09,+0.00000000000E+00
8.17478510029E+09,+0.00000000000E+00
8.21346704871E+09,+0.00000000000E+00
8.25214899713E+09,+0.00000000000E+00
8.29083094556E+09,+0.00000000000E+00
8.32951289398E+09,+0.00000000000E+00
8.36819484241E+09,+0.00000000000E+00
8.40687679083E+09,+0.00000000000E+00
8.44555873926E+09,+0.00000000000E+00
8.48424068768E+09,+0.00000000000E+00
8.52292263610E+09,-9.64327466553E-16
8.56160458453E+09,+0.00000000000E+00
8.60028653295E+09,+0.00000000000E+00
8.63896848138E+09,+0.00000000000E+00
