! Planar, C4420, 00000001, 24.1.6/3
! Date: 26.09.2024 10:26:19
! Stimulus(Гц),    S21(дБ),           S21(дБ),           S21(°),            S21(°)
4.50000000000E+09,+9.68430057730E-01,+4.50720469079E+00,-1.43745236519E+02,-1.18843192872E+02
4.51002865330E+09,+5.00812509279E+00,+7.41208935557E+00,-1.49963332751E+02,-1.51766927347E+02
4.52005730659E+09,+4.39094781699E+00,-1.70284620251E+01,-5.95748800554E+01,-3.86216136587E+01
4.53008595989E+09,-8.51648998921E+00,-7.34238604737E+00,+7.09440235811E+01,-4.85950051707E+01
4.54011461318E+09,+1.80320282562E+00,-2.42029195551E+00,+2.97965065304E+01,-1.32661357717E+02
4.55014326648E+09,+1.40716861226E+00,+1.07630357774E+01,-1.58816551418E+02,+6.02267385933E+01
4.56017191977E+09,+1.59256896739E+00,+1.50487265599E+00,+5.89014796045E+01,+2.51663722754E+01
4.57020057307E+09,+6.77889882756E+00,+1.88751175252E+00,+7.47801402994E+01,-2.54083642215E+01
4.58022922636E+09,+2.65643679675E+00,-1.73833807723E+00,+7.23183913330E+01,-1.73053360462E+02
4.59025787966E+09,-5.05119817269E-01,-4.77557067980E+00,-1.55188025503E+02,-2.37053031585E+01
4.60028653295E+09,-8.57889498180E+00,-5.36421219148E+00,-1.61137919381E+02,+2.87666876116E+01
4.61031518625E+09,+5.53202410171E-01,+2.74322367749E+01,-1.44653998369E+01,+8.19236515697E+01
4.62034383954E+09,-4.08562439670E+00,+1.11241181387E+01,-1.70031695984E+02,-1.72605014897E+02
4.63037249284E+09,-3.20023528398E+00,-2.81978811603E+00,+1.62503864425E+02,+1.52652630725E+02
4.64040114613E+09,+1.24660072888E+00,+1.26871520494E+01,+1.65166876892E+01,+8.81724757972E+01
4.65042979943E+09,+2.23596675331E-01,-6.31470153423E+00,-1.72891838209E+02,+1.14058185712E+01
4.66045845272E+09,-2.19802386494E+00,-2.30144615050E+00,+1.74004464735E+02,-5.17878918906E+01
4.67048710602E+09,+4.06618206643E+00,+5.97639845920E+00,-1.59954304868E+02,+1.61400225268E+02
4.68051575931E+09,-6.98943115913E+00,-1.94639722397E+00,+3.28901188002E+01,-1.19845735154E+01
4.69054441261E+09,+3.18680332578E+00,+8.17079483594E+00,-2.24742259664E+01,-2.99380679945E+01
4.70057306590E+09,-2.20955713992E+00,-3.18507996122E+00,-1.41401982876E+02,-1.10128196965E+02
4.71060171920E+09,-3.98094885676E+00,-1.22259720168E+01,+1.43572069436E+02,+1.67792044883E+02
4.72063037249E+09,+3.65689851547E+00,-3.77267061376E+00,+1.56431794132E+02,+4.73724375656E+01
4.73065902579E+09,-5.94029568613E+00,-8.96182591139E+00,+1.06126617643E+01,-8.24955925544E+00
4.74068767908E+09,-1.89743798457E+00,-3.60789363362E+00,+1.58253964656E+02,-1.43827599818E+02
4.75071633238E+09,+1.06814305583E+01,+1.12131705538E+00,-3.24948445501E+01,-1.32476177354E+00
4.76074498567E+09,+3.74523239564E-01,-7.07018271876E+00,-8.85434413978E+01,-1.37213207562E+02
4.77077363897E+09,+6.19087082284E+00,-8.24166375238E+00,-2.61767031264E+01,-1.45593881173E+01
4.78080229226E+09,-7.04907690717E+00,+7.08604991154E+00,-9.50163672004E+01,+1.32829059560E+01
4.79083094556E+09,+1.06386670406E+00,-4.21493465198E+00,-1.47710654770E+02,-1.65155535904E+02
4.80085959885E+09,-4.57040893850E+00,-3.37838891554E+00,-6.92672398977E+01,-1.47821772492E+02
4.81088825215E+09,-3.76702234241E+00,-4.40561502289E+00,+2.14463436201E+01,+1.21906679572E+02
4.82091690544E+09,-5.59702649320E+00,+1.00533499257E+00,-1.36518191287E+02,-9.50966603095E+01
4.83094555874E+09,-1.17036003734E-01,-7.59112234299E-01,-8.68487942314E+01,-1.58235379663E+02
4.84097421203E+09,-1.12931930566E+01,-1.19445938293E+01,+1.26627063550E+01,-2.74385594982E+00
4.85100286533E+09,-1.00538212280E+00,+5.21439779217E+00,+2.67425835476E+01,+1.00395374346E+02
4.86103151862E+09,+6.70627417511E-01,+1.48420364214E+00,-1.18181923454E+02,-1.28557530654E+02
4.87106017192E+09,-1.13048254600E+01,-1.83765067669E+01,+7.30416651954E+01,+1.50318443725E+01
4.88108882521E+09,-4.64260420794E+00,-4.73979392530E+00,-1.52315072567E+02,-1.23102698478E+02
4.89111747851E+09,+7.09622851123E-01,-5.56376054181E+00,+3.01783295532E+01,-5.73503793316E+00
4.90114613181E+09,+2.80112346889E+00,-8.48986407722E+00,+6.00666565207E+01,+3.40632815746E+01
4.91117478510E+09,-1.10876505740E+00,-2.74594354033E+00,+9.89922783841E+01,+7.55981012104E+01
4.92120343840E+09,-1.14498387036E+00,-1.33546776752E+00,+9.80371524219E+01,+1.17883721353E+02
4.93123209169E+09,-9.72206945292E+00,-9.50048549790E+00,-1.02413267998E+02,-1.24249465739E+02
4.94126074499E+09,-1.73940538791E+01,-1.89252879750E+01,-1.03210836021E+02,-1.68883492045E+02
4.95128939828E+09,-2.67772278589E+00,-5.35238044281E+00,+7.28442518143E+01,+7.92096321560E+01
4.96131805158E+09,-9.45534812552E+00,-1.03988762230E+01,-1.15282771672E+02,-1.20542834354E+02
4.97134670487E+09,-1.26239978705E+01,-1.29773590741E+01,-1.23871005141E+02,-1.46059865943E+02
4.98137535817E+09,-2.54462301128E+01,-2.48503814873E+01,-1.16938787419E+02,-1.12858434439E+02
4.99140401146E+09,-3.38099111609E+01,-3.46872944914E+01,-1.31679940552E+02,-1.09410026275E+02
5.00143266476E+09,-1.79583248594E+01,-1.75701704394E+01,-8.35179127814E+01,-8.25504325199E+01
5.01146131805E+09,-1.57723770005E+01,-1.50880167017E+01,+1.34666453060E+02,+1.50822664769E+02
5.02148997135E+09,-1.80288412555E+01,-1.82875083327E+01,-3.73737820768E+01,-2.75272149665E+01
5.03151862464E+09,-1.86196735755E+01,-1.79444214813E+01,-2.20792178500E+01,+4.85306007023E-01
5.04154727794E+09,-1.19166360729E+01,-1.17087601565E+01,+1.04917939787E+02,+1.04980066553E+02
5.05157593123E+09,-1.26812302127E+01,-1.22070729543E+01,-7.26132245052E+01,-8.86463075256E+01
5.06160458453E+09,-1.57969897670E+01,-1.65162354596E+01,+1.10152043028E+02,+1.11618229047E+02
5.07163323782E+09,-1.91970767458E+01,-1.91823026646E+01,+1.44503687402E+02,+1.45408509855E+02
5.08166189112E+09,-2.13022672886E+01,-2.14665305394E+01,+9.02297102786E+01,+8.91771978666E+01
5.09169054441E+09,-2.12144575146E+01,-2.24926843457E+01,+3.99679719418E+01,+4.64675519524E+01
5.10171919771E+09,-2.24265047422E+01,-2.27917096909E+01,+1.22999600868E+02,+1.18530305909E+02
5.11174785100E+09,-3.11791917117E+01,-3.17121891455E+01,-1.58589439724E+01,-1.32859690511E+01
5.12177650430E+09,-2.74350234789E+01,-2.71135818652E+01,+5.24366833169E+01,+5.04990302998E+01
5.13180515759E+09,-3.89867838105E+01,-3.92370618266E+01,-8.97431161267E+01,-8.56684518274E+01
5.14183381089E+09,-2.83351924680E+01,-2.93821667569E+01,-2.69449287237E+01,-2.08107510901E+01
5.15186246418E+09,-2.93376633011E+01,-2.93880307384E+01,-2.47255629847E+01,-2.27182270315E+01
5.16189111748E+09,-2.92138653314E+01,-3.02269984908E+01,+1.31063034888E+02,+1.39676138556E+02
5.17191977077E+09,-3.46245350363E+01,-3.46992971079E+01,-4.09115746182E+01,-3.73316596849E+01
5.18194842407E+09,-5.00071805846E+01,-5.04527561808E+01,+1.29574011173E+01,+1.61134673815E+01
5.19197707736E+09,-3.26483083359E+01,-3.26792161182E+01,-4.00256512524E+01,-3.55304490156E+01
5.20200573066E+09,-3.75268536496E+01,-3.79243265432E+01,+1.13284366243E+02,+1.18420640076E+02
5.21203438395E+09,-2.96609172684E+01,-2.97240138954E+01,+1.44759432961E+02,+1.50390077600E+02
5.22206303725E+09,-3.15740882648E+01,-3.19094672236E+01,+1.33943154039E+02,+1.40218333467E+02
5.23209169054E+09,-4.12099490564E+01,-4.08975405598E+01,+1.68690050405E+02,+1.73232881565E+02
5.24212034384E+09,-5.02951414267E+01,-5.01618484469E+01,-1.05033017023E+02,-1.00273908662E+02
5.25214899713E+09,-4.19231205412E+01,-4.18482709047E+01,+3.11044358444E+01,+3.59659275087E+01
5.26217765043E+09,-4.21622499357E+01,-4.18876869551E+01,+1.56748132970E+02,+1.61469095913E+02
5.27220630372E+09,-4.19713179167E+01,-4.17297341115E+01,+1.64119993257E+02,+1.68390025525E+02
5.28223495702E+09,-4.85706025720E+01,-4.81308261485E+01,+7.56747797513E+01,+7.99276615405E+01
5.29226361032E+09,-4.24322491175E+01,-4.18134341200E+01,+1.68792300437E+02,+1.72044453016E+02
5.30229226361E+09,-5.33454993246E+01,-5.27680677932E+01,-1.57841921681E+02,-1.54809651670E+02
5.31232091691E+09,-5.50146388407E+01,-5.43945372512E+01,+1.51621235593E+02,+1.54090297691E+02
5.32234957020E+09,-6.13338502889E+01,-6.06615492241E+01,-1.02550552051E+02,-1.00739523938E+02
5.33237822350E+09,-4.97604893904E+01,-4.90357807693E+01,-1.77723936746E+02,-1.76707897547E+02
5.34240687679E+09,-6.60174263942E+01,-6.52761945112E+01,+1.34838077156E+02,+1.35053743279E+02
5.35243553009E+09,-7.23770560043E+01,-7.16600181442E+01,+1.20358807017E+02,+1.19620661081E+02
5.36246418338E+09,-7.18153521504E+01,-7.11465582203E+01,+1.17385689620E+02,+1.15647304713E+02
5.37249283668E+09,-7.87373246438E+01,-7.81376412892E+01,-1.78185647571E+02,+1.79169397888E+02
5.38252148997E+09,-9.03862410061E+01,-8.99227262713E+01,-9.18590615375E+01,-9.54198972673E+01
5.39255014327E+09,-7.14627263789E+01,-7.11948391847E+01,-1.11676409400E+02,-1.15903854270E+02
5.40257879656E+09,-7.55604493767E+01,-7.55576189376E+01,+9.74697196623E+01,+9.31200738485E+01
5.41260744986E+09,-9.40259721255E+01,-9.42946157409E+01,+1.35676818350E+02,+1.32434863412E+02
5.42263610315E+09,-8.08326043880E+01,-8.11491080675E+01,-2.20400174709E+01,-2.30044766409E+01
5.43266475645E+09,-9.45227135986E+01,-9.46138773678E+01,+1.20467081105E+01,+1.20615495588E+01
5.44269340974E+09,-8.98132462779E+01,-8.98059977551E+01,+4.22560271063E+01,+4.16331491578E+01
5.45272206304E+09,-9.65629536942E+01,-9.66134636744E+01,-7.02899114927E+01,-7.11535220142E+01
5.46275071633E+09,-8.93865963826E+01,-8.94747704783E+01,+6.22201863726E+01,+6.18405682261E+01
5.47277936963E+09,-9.23291901626E+01,-9.23625300586E+01,-1.30144194006E+01,-1.28846554859E+01
5.48280802292E+09,-9.51299749219E+01,-9.50634904072E+01,+5.44951413413E+01,+5.45964982607E+01
5.49283667622E+09,-9.14231975158E+01,-9.12966622066E+01,-3.68374240737E-01,-7.75331170489E-01
5.50286532951E+09,-1.00364227016E+02,-1.00257295286E+02,+8.85890922550E+01,+8.75698644578E+01
5.51289398281E+09,-9.25974558206E+01,-9.25731193054E+01,-1.78722163725E+02,+1.79927980954E+02
5.52292263610E+09,-8.60700867886E+01,-8.61390346462E+01,+8.64405098528E+01,+8.52695637483E+01
5.53295128940E+09,-9.85717785601E+01,-9.86816941404E+01,+1.29214961175E+02,+1.28656766606E+02
5.54297994269E+09,-1.02147454187E+02,-1.02214903420E+02,-1.77827839609E+02,-1.77755407802E+02
5.55300859599E+09,-8.30663562790E+01,-8.30318566890E+01,-8.92115900776E+01,-8.89240450672E+01
5.56303724928E+09,-8.72234622335E+01,-8.70917608609E+01,-6.87879251054E+01,-6.88581216297E+01
5.57306590258E+09,-1.02527451231E+02,-1.02365873812E+02,-7.56239416020E+01,-7.63877938011E+01
5.58309455587E+09,-8.54816750002E+01,-8.53687632024E+01,-2.51879838623E+01,-2.65837659453E+01
5.59312320917E+09,-8.40753126586E+01,-8.40659618797E+01,-7.50663944284E+00,-9.13536350153E+00
5.60315186246E+09,-8.50902157726E+01,-8.51791047850E+01,+3.65039602537E+01,+3.52156773659E+01
5.61318051576E+09,-9.76566201191E+01,-9.77681320740E+01,-3.51365829976E+01,-3.56541893167E+01
5.62320916905E+09,-8.36829523951E+01,-8.37116994328E+01,-6.36342183798E+01,-6.35334937206E+01
5.63323782235E+09,-9.03069630881E+01,-9.02111326712E+01,+9.37735895161E+01,+9.37769179575E+01
5.64326647564E+09,-8.82013978792E+01,-8.80537891849E+01,+1.28133422915E+02,+1.27476965287E+02
5.65329512894E+09,-9.15201740124E+01,-9.14299682715E+01,+9.31029433362E+01,+9.20407024005E+01
5.66332378223E+09,-8.59743157394E+01,-8.59288562961E+01,+1.31437343671E+02,+1.31008252151E+02
5.67335243553E+09,-8.94234729206E+01,-8.91585748191E+01,-1.38190601280E+02,-1.38051731972E+02
5.68338108883E+09,-8.20844885434E+01,-8.16113746657E+01,-1.08000849124E+02,-1.09573214535E+02
5.69340974212E+09,-8.25966500652E+01,-8.21981568268E+01,-1.74042250166E+02,-1.77516574754E+02
5.70343839542E+09,-6.82496231642E+01,-6.80335270037E+01,-5.16961922270E+01,-5.62047627243E+01
5.71346704871E+09,-6.59010943981E+01,-6.58635729652E+01,-4.80100207063E+01,-5.29578546314E+01
5.72349570201E+09,-6.87938968579E+01,-6.89278115881E+01,-6.83958359524E+01,-7.33856153005E+01
5.73352435530E+09,-6.27183745046E+01,-6.30026701357E+01,-1.73531506189E+01,-2.20666736283E+01
