! Planar, C4420, 00000001, 24.1.6/3
! Date: 26.09.2024 10:27:22
! Stimulus(Гц),    S21(дБ),           S21(дБ),           S21(°),            S21(°)
4.50000000000E+09,-7.94179602795E+00,-4.40302139489E+00,+8.51767279128E+01,+1.10078771559E+02
4.51002865330E+09,-3.56588962200E-01,+2.04737530058E+00,+1.17145076131E+01,+9.91091301664E+00
4.52005730659E+09,+1.77375939658E+01,-3.68181587621E+00,-1.69418932146E+01,+4.01137318213E+00
4.53008595989E+09,-1.73479994094E+01,-1.61738954676E+01,+1.29436963223E+02,+9.89793447098E+00
4.54011461318E+09,-5.54781974256E-01,-4.77827675539E+00,+1.86459294757E+01,-1.43811934771E+02
4.55014326648E+09,+3.47691665012E-01,+9.70355883012E+00,+1.49515608072E+02,+8.55889808311E+00
4.56017191977E+09,-3.66469648311E+00,-3.75239279451E+00,+2.87694478873E+01,-4.96565944182E+00
4.57020057307E+09,+1.50445692376E+01,+1.01531821626E+01,+1.42518031517E+02,+4.23295269956E+01
4.58022922636E+09,-2.24110858364E+00,-6.63588345763E+00,+1.38090353959E+02,-1.07281397837E+02
4.59025787966E+09,-1.05088394158E+00,-5.32133480410E+00,-1.26101962659E+02,+5.38075968584E+00
4.60028653295E+09,-1.36991078415E+01,-1.04844250512E+01,+1.66744251742E+02,-3.35114126560E+00
4.61031518625E+09,-2.78461584439E+00,+2.40944185204E+01,+1.79524762490E+02,-8.40861861034E+01
4.62034383954E+09,-3.45115406241E+00,+1.17585884730E+01,+4.24758563157E+01,+3.99025374024E+01
4.63037249284E+09,-9.79530375344E+00,-9.41485658549E+00,-8.59515719676E+01,-9.58028056674E+01
4.64040114613E+09,-3.88308634010E+00,+7.55746498044E+00,+2.32991792056E+01,+9.49549673136E+01
4.65042979943E+09,+3.80335372906E-01,-6.15796283665E+00,-4.85626806292E+01,+1.35734976151E+02
4.66045845272E+09,-4.52772725003E+00,-4.63114953559E+00,+1.78649765450E+02,-4.71425911756E+01
4.67048710602E+09,-1.94385898724E+01,-1.75283734796E+01,+1.59062588586E+02,+1.20417118722E+02
4.68051575931E+09,-5.78193593583E+00,-7.38902000664E-01,-1.21349514939E+02,-1.66224207255E+02
4.69054441261E+09,-1.05908244157E+01,-5.60683290553E+00,+7.89163098192E+01,+7.14524677911E+01
4.70057306590E+09,+5.31087075036E+00,+4.33534792906E+00,+6.59879366110E+01,+9.72617225224E+01
4.71060171920E+09,-2.40221526316E+00,-1.06472384232E+01,+2.42869728891E+00,+2.66486727366E+01
4.72063037249E+09,+6.81838382855E+00,-6.11185300682E-01,-1.66171635799E+01,-1.25676520146E+02
4.73065902579E+09,-1.63451016017E+00,-4.65604038543E+00,+6.04355085034E+01,+4.15732874836E+01
4.74068767908E+09,+2.97121791031E+00,+1.26076226126E+00,-3.61993168690E+01,+2.17191186571E+01
4.75071633238E+09,+7.62934108738E+00,-1.93077241555E+00,+8.38421730614E+01,+1.15012255838E+02
4.76074498567E+09,+1.23217390560E+01,+4.87703309767E+00,-1.09201784850E+02,-1.57871551014E+02
4.77077363897E+09,+7.79256697885E+00,-6.63996759637E+00,-7.27893471615E+01,-6.11720321524E+01
4.78080229226E+09,-1.35783655904E+01,+5.56761228280E-01,+7.75758003247E+01,-1.74124926519E+02
4.79083094556E+09,-1.01301591637E+01,-1.54089605197E+01,+1.51099114647E+02,+1.33654233513E+02
4.80085959885E+09,+3.08448275163E+00,+4.27650277458E+00,+1.25836913800E+02,+4.72823812060E+01
4.81088825215E+09,-2.58199530903E+00,-3.22058798950E+00,-1.55055212967E+02,-5.45948770145E+01
4.82091690544E+09,-3.35398430784E+00,+3.24837717794E+00,-1.22795210532E+02,-8.13736795547E+01
4.83094555874E+09,+3.89141716657E+00,+3.24934093601E+00,+1.39121771691E+02,+6.77351862597E+01
4.84097421203E+09,-1.48075884600E+00,-2.13215961863E+00,+4.62310265971E+01,+3.08244642922E+01
4.85100286533E+09,-4.56398306245E-01,+5.76338160872E+00,+2.06292742308E+01,+9.42820650291E+01
4.86103151862E+09,-5.34726084413E+00,-4.53368461950E+00,-9.00123581422E+01,-1.00387965342E+02
4.87106017192E+09,-3.78185959724E+00,-1.08535409041E+01,-8.62202420786E+01,-1.44230062902E+02
4.88108882521E+09,-1.34312757500E+01,-1.35284654673E+01,-1.02676887326E+02,-7.34645132378E+01
4.89111747851E+09,+4.22131779467E+00,-2.05206559826E+00,-9.07340443384E+01,-1.26647411825E+02
4.90114613181E+09,+1.06662738891E+00,-1.02243601572E+01,-1.05991213217E+02,-1.31994588163E+02
4.91117478510E+09,-1.15957543201E+01,-1.32329328030E+01,-1.42782996561E+02,-1.66177173735E+02
4.92120343840E+09,-7.93909988998E+00,-8.12958378714E+00,-6.69428746194E+01,-4.70963056879E+01
4.93123209169E+09,-2.44347485737E+00,-2.22189090234E+00,+9.48265615551E+01,+7.29903638141E+01
4.94126074499E+09,-5.57430308559E+00,-7.10553718157E+00,+1.27664315097E+02,+6.19916590722E+01
4.95128939828E+09,-1.05098801463E+01,-1.31845378032E+01,+5.93079460397E+01,+6.56733263814E+01
4.96131805158E+09,-2.01012021350E+00,-2.95364831095E+00,+8.21471277327E+01,+7.68870650499E+01
4.97134670487E+09,-8.87097757077E+00,-9.22433877438E+00,-8.20723844893E+01,-1.04261245291E+02
4.98137535817E+09,-2.30506815883E+01,-2.24548329628E+01,+2.78929467909E+01,+3.19732997714E+01
4.99140401146E+09,-9.61279017178E+00,-1.04901735023E+01,+6.18043239390E+01,+8.40742382159E+01
5.00143266476E+09,-1.12847749213E+01,-1.08966205013E+01,+1.27606348236E+02,+1.28573828497E+02
5.01146131805E+09,-1.33422275813E+01,-1.26578672825E+01,-7.57262724116E+01,-5.95700607028E+01
5.02148997135E+09,-1.05310430454E+01,-1.07897101225E+01,+1.04725216546E+02,+1.14571783656E+02
5.03151862464E+09,-1.91881281296E+01,-1.85128760355E+01,-3.89652719404E+01,-1.64007480833E+01
5.04154727794E+09,-1.27996044913E+01,-1.25917285749E+01,-6.10804429717E+01,-6.10183162053E+01
5.05157593123E+09,-1.80670601817E+01,-1.75929029233E+01,-5.07459309392E+01,-6.67790139597E+01
5.06160458453E+09,-1.63352289243E+01,-1.70544746169E+01,+8.37572898914E+01,+8.52234759102E+01
5.07163323782E+09,-2.03082850885E+01,-2.02935110073E+01,+1.25558878204E+02,+1.26463700657E+02
5.08166189112E+09,-1.90094333027E+01,-1.91736965536E+01,+7.53850604670E+01,+7.43325480550E+01
5.09169054441E+09,-1.26924753512E+01,-1.39707021822E+01,+1.02143957072E+02,+1.08643537083E+02
5.10171919771E+09,-1.50555834589E+01,-1.54207884077E+01,+1.07340203626E+02,+1.02870908667E+02
5.11174785100E+09,-3.51571602358E+01,-3.56901576696E+01,-6.01307763193E+01,-5.75578013980E+01
5.12177650430E+09,-2.36784136044E+01,-2.33569719908E+01,+1.02525880170E+02,+1.00588227153E+02
5.13180515759E+09,-2.05308077100E+01,-2.07810857261E+01,+9.27378380610E+01,+9.68125023603E+01
5.14183381089E+09,-2.26879924172E+01,-2.37349667061E+01,+8.09750525400E+01,+8.71092301736E+01
5.15186246418E+09,-2.53045176140E+01,-2.53548850512E+01,+1.09675073438E+02,+1.11682409391E+02
5.16189111748E+09,-2.49827267841E+01,-2.59958599435E+01,-2.71010407914E+01,-1.84879371230E+01
5.17191977077E+09,-3.18250976974E+01,-3.18998597690E+01,+4.58117572373E+00,+8.16109065703E+00
5.18194842407E+09,-3.16850044972E+01,-3.21305800934E+01,-9.66939840684E+01,-9.35379178042E+01
5.19197707736E+09,-2.91300990553E+01,-2.91610068376E+01,+1.28399855504E+02,+1.32895057741E+02
5.20200573066E+09,-4.38700427723E+01,-4.42675156658E+01,-4.18169928745E+00,+9.54574545410E-01
5.21203438395E+09,-2.65650716926E+01,-2.66281683196E+01,+1.31645154335E+02,+1.37275798974E+02
5.22206303725E+09,-2.71714820581E+01,-2.75068610168E+01,+1.41005439441E+02,+1.47280618869E+02
