! Planar, C4420, 00000001, 24.1.6/3
! Date: 26.09.2024 10:24:40
! Stimulus(Гц),    S12(дБ),           S12(дБ),           S12(°),            S12(°)
4.50000000000E+09,-9.23873621151E+00,-5.69996157845E+00,-1.52296778555E+01,+9.67236579104E+00
4.53868194842E+09,-7.36112000221E+00,-4.95715573943E+00,-1.73077352629E+02,-1.74880947226E+02
4.57736389685E+09,+1.26378785687E+01,-8.78153127335E+00,+1.73999365023E+02,-1.65047368580E+02
4.61604584527E+09,+2.96321773026E+00,+4.13732167209E+00,-1.50525062031E+02,+8.99359092177E+01
4.65472779370E+09,-1.44960046030E+00,-5.67309524143E+00,+1.73962491731E+02,+1.15046274836E+01
4.69340974212E+09,+6.50590979783E-01,+1.00064581449E+01,+1.55489841109E+02,+1.45331311200E+01
4.73209169054E+09,-5.65077919716E+00,-5.73847550856E+00,-2.47582040399E+01,-5.84933113691E+01
4.77077363897E+09,-5.51503623617E-01,-5.44289069866E+00,+4.06049917566E-01,-9.97824546033E+01
4.80945558739E+09,+1.14438084535E+00,-3.25039402863E+00,+1.98555324119E+01,+1.34483780617E+02
4.84813753582E+09,+4.18960183998E+00,-8.08490225443E-02,+5.32382023468E+01,-1.75279075309E+02
4.88681948424E+09,-2.88971340097E+01,-2.56824512194E+01,+8.68552730197E+01,-8.32401199881E+01
4.92550143266E+09,-7.54589479884E-01,+2.61244448849E+01,-3.03770106094E+00,+9.33513503457E+01
4.96418338109E+09,+7.06233039158E-01,+1.59159755746E+01,+1.50484018444E+02,+1.47910699531E+02
5.00286532951E+09,-6.19761339348E+00,-5.81716622553E+00,+1.56892325579E+02,+1.47041091880E+02
5.04154727794E+09,+4.05915851624E+00,+1.54997098368E+01,+8.18126216881E+00,+7.98370502768E+01
5.08022922636E+09,+9.16903926502E+00,+2.63074105546E+00,+1.56521869123E+02,-1.91804740962E+01
5.11891117479E+09,-5.74704627086E+00,-5.85046855641E+00,-4.16742643638E+01,+9.25333790110E+01
5.15759312321E+09,+9.29809517185E-01,+2.84002590996E+00,+4.17681273114E+01,+3.12265744749E+00
5.19627507163E+09,-5.36837030823E+00,-3.25336373064E-01,+5.30924866413E+01,+8.21779432571E+00
5.23495702006E+09,-1.26566519611E+00,+3.71832631404E+00,+2.43605479502E+01,+1.68967059222E+01
5.27363896848E+09,-7.92595060947E+00,-8.90147343077E+00,+4.94920502826E+01,+8.07658361940E+01
5.31232091691E+09,-8.24468929294E+00,-1.64897124530E+01,-7.54103658305E+01,-5.11903903829E+01
5.35100286533E+09,+1.49589697602E+01,+7.52940063097E+00,+1.14127844714E+02,+5.06848814791E+00
5.38968481375E+09,-3.58862259041E+00,-6.61015281567E+00,-3.68071541515E+01,-5.56693751713E+01
5.42836676218E+09,+3.71650216382E+00,+2.00604651477E+00,-1.90606800987E+01,+3.88577554274E+01
5.46704871060E+09,+7.72756989179E+00,-1.83254361114E+00,+5.11200122620E+01,+8.22900950386E+01
5.50573065903E+09,+4.48872375641E+00,-2.95598220192E+00,+4.16439466895E+01,-7.02581947446E+00
5.54441260745E+09,-4.48893282082E+00,-1.89214673960E+01,-1.37747905831E+02,-1.26130590822E+02
5.58309455587E+09,-2.55640648417E+00,+1.15787203345E+01,-5.79245397104E+01,+5.03747334460E+01
5.62177650430E+09,+4.69188072395E+00,-5.86920632090E-01,+3.90569431905E+01,+2.16120620564E+01
5.66045845272E+09,+3.60938001567E+00,+4.80140003863E+00,+8.23908847300E+01,+3.83635213622E+00
5.69914040115E+09,+3.43014042909E+00,+2.79154774862E+00,+1.12073784624E+01,+1.11667714415E+02
5.73782234957E+09,-7.59937447638E+00,-9.97012990611E-01,-7.46933652875E+01,-3.32718343100E+01
5.77650429799E+09,+3.72566912323E+00,+3.08359289267E+00,+1.35662209183E+01,-5.78203645129E+01
5.81518624642E+09,-5.31655399959E+00,-5.96795477222E+00,-3.60942228370E+01,-5.15007851419E+01
5.85386819484E+09,+7.87191689362E-01,+7.00697160432E+00,-2.97418883446E+01,+4.39109024537E+01
5.89255014327E+09,-4.16215794863E+00,-3.34858172400E+00,-2.50611656121E+01,-3.54367728122E+01
5.93123209169E+09,+1.16543873739E+00,-5.90624256951E+00,+5.30507261125E+01,-4.95909471041E+00
5.96991404011E+09,-6.28948065687E+00,-6.38667037423E+00,-6.24640625218E+01,-3.32516884333E+01
6.00859598854E+09,-2.67228282700E+00,-8.94566621993E+00,-1.17610261859E+01,-4.76743936722E+01
6.04727793696E+09,+5.00528391076E+00,-6.28570363534E+00,-1.92882870495E+01,-4.52916619956E+01
6.08595988539E+09,+3.56251915476E+00,+1.92534067183E+00,+2.63486848473E+01,+2.95450767351E+00
6.12464183381E+09,+2.89480272118E+00,+2.70431882402E+00,+5.10090596931E+01,+7.08556286247E+01
6.16332378223E+09,-2.87901039749E+00,-2.65742644247E+00,+3.60242825612E+01,+1.41880848203E+01
6.20200573066E+09,-2.44932943423E+00,-3.98056353020E+00,+4.90500295418E+01,-1.66226264825E+01
6.24068767908E+09,-2.96652326491E+00,-5.64118092183E+00,+1.03443160304E+01,+1.67096963721E+01
6.27936962751E+09,+4.43290904182E+00,+3.48938094438E+00,+2.67498670950E+01,+2.14898044122E+01
6.31805157593E+09,+4.10664536456E+00,+3.75328416096E+00,-1.31701585638E+01,-3.53590193659E+01
6.35673352436E+09,-4.48275311325E-01,+1.47573314204E-01,-1.79609778369E+00,+2.28425519680E+00
6.39541547278E+09,+7.70988147170E-01,-1.06395183318E-01,-1.30862026792E+01,+9.18371159771E+00
6.43409742120E+09,+5.09105914465E-01,+8.97260334459E-01,+3.50587208385E+01,+3.60262010999E+01
6.47277936963E+09,+9.96361278870E-01,+1.68072157763E+00,-2.14807724194E+01,-5.32456071063E+00
6.51146131805E+09,-1.69885374295E-01,-4.28552451440E-01,-1.29018702899E+01,-3.05530317957E+00
6.55014326648E+09,-1.00275202857E+00,-3.27499934407E-01,-2.38142596310E+01,-1.24973577392E+00
6.58882521490E+09,+1.85801642578E-01,+3.93677559018E-01,+7.37807074576E+00,+7.44019751208E+00
