! Planar, C4420, 00000001, 24.1.6/3
! Date: 26.09.2024 10:19:26
! Stimulus(Гц),    S21(дБ),           S12(дБ),           S21(°),            S12(°)
4.50000000000E+09,+4.67155164706E+00,+7.09129248060E+00,+1.26040870272E+01,-8.75109845976E+00
4.53868194842E+09,-1.64862465802E+01,+2.33933507450E-02,+6.87192854093E+01,-1.74335932278E+02
4.57736389685E+09,+9.44547193674E+00,-1.64234440396E+01,+2.00920677007E+00,+1.28230602029E+02
4.61604584527E+09,-6.37235627879E+00,-2.57970423925E+00,-8.40990534368E+01,+9.25701068409E+01
4.65472779370E+09,+1.42648744407E+00,-5.53209784448E+00,+1.33288223484E+02,-3.46379859806E+01
4.69340974212E+09,-6.27189989945E+00,+1.18944764228E+01,-1.23224230101E+02,+2.36756201285E+01
4.73209169054E+09,+3.72996867177E+00,-6.85643959139E+00,+3.31670618792E+01,-1.69701302448E+01
4.77077363897E+09,+1.46700355941E+01,+1.39015169742E+01,-6.21235880925E+01,+7.83633086995E+01
4.80945558739E+09,+4.53472633052E-01,-4.62140008853E+00,-1.09273019052E+02,-1.95926489307E+01
4.84813753582E+09,-6.83372691558E-01,-1.46681752907E+01,-6.83908602733E+01,-1.48332331563E+02
4.88681948424E+09,-4.46150914089E+00,-9.53970730471E-01,+3.11042054447E+01,+3.50303720325E+01
4.92550143266E+09,-6.26306034899E+00,+2.29275941031E+01,-1.47744686416E+02,-7.90130268352E+01
4.96418338109E+09,-1.28824666423E+01,+1.40715268690E+01,-1.52440552654E+02,-2.01556110473E+00
5.00286532951E+09,+2.09497434156E+00,-5.13664576164E+00,+2.12806225236E+01,-8.14618929641E+01
5.04154727794E+09,+6.67253600290E+00,+8.15018065796E+00,+1.62332071198E+01,-1.34867703976E+02
5.08022922636E+09,-1.85793015933E+00,-3.88603452524E+00,+1.77993063668E+02,-1.36787233534E+00
5.11891117479E+09,-3.21013695019E+00,-2.79423132881E+00,-1.58916866432E+02,+1.53282709106E+02
5.15759312321E+09,+5.17025828263E+00,-6.75023521942E+00,+2.04499232374E+01,+7.39781640257E+01
5.19627507163E+09,-6.09969959281E+00,+3.37909568068E+00,+1.27654355166E+02,-6.09318584428E+01
5.23495702006E+09,-2.59614216683E+01,+6.08736344699E+00,+2.06362682669E+01,+1.69994457192E+02
5.27363896848E+09,+1.50660439261E+01,+4.73885347189E+00,-8.46763521395E+01,+1.58621227628E+02
5.31232091691E+09,-7.11007692143E-01,-1.03288681708E+01,-2.11106758440E+01,-2.26011714647E+01
5.35100286533E+09,+1.46409026816E+01,+8.52803147572E+00,+1.00208957965E+02,+1.87489668197E+01
5.38968481375E+09,-3.28637837464E+00,-4.30179699495E+00,+1.20306769996E+00,-1.06353943438E+02
5.42836676218E+09,-4.20909797924E+00,-6.35435892693E-02,-1.30363768756E+01,-3.18726711948E+00
5.46704871060E+09,+2.16032551690E+01,+9.28622836926E+00,+8.43759475752E+01,+1.28729992872E+02
5.50573065903E+09,+6.72225205000E+00,+1.13152621523E-01,+4.72242545395E+01,-2.81752779187E+01
5.54441260745E+09,+5.62288801981E+00,-1.23592878353E+01,-1.08585639896E+01,-2.30286293070E+01
5.58309455587E+09,+2.48743132620E+00,+1.32667981631E+01,+6.33636095057E+00,+1.28937756735E+02
5.62177650430E+09,-7.64494209219E+00,-1.23652624373E+01,-1.09634252596E+02,+1.78227208654E+01
5.66045845272E+09,-7.63248613915E+00,-9.12951397756E+00,+3.55324663499E+01,+7.25255352289E+01
5.69914040115E+09,+2.21685373582E+00,-1.75398343736E+00,-1.21538373171E+02,+9.14858248477E+01
5.73782234957E+09,-8.91679481729E+00,-6.79390351157E-01,-8.18634939779E+01,+1.07809019464E+01
5.77650429799E+09,+4.77253609647E-01,+8.76892058625E+00,+7.77045954128E+01,+4.20648530466E+01
5.81518624642E+09,-1.87020079793E+00,-5.80269202546E+00,-5.53178847210E+01,-1.99321245939E+01
5.85386819484E+09,-1.84168532428E+00,+3.92943227397E+00,-1.02062057998E+02,-4.32269347430E+01
5.89255014327E+09,-2.79669402591E+00,+4.26207350696E-01,+1.45134583037E+01,+1.16693587521E+01
5.93123209169E+09,+1.33044186648E+00,-1.00615713153E+01,-5.45740280792E+00,-3.23153053892E+01
5.96991404011E+09,-6.29782736846E-01,+2.22476608387E+00,-9.28110179498E+01,+2.23493493784E+01
6.00859598854E+09,+1.76497579257E+00,-4.96190715137E+00,+1.00783399199E+01,-2.93321097347E+01
6.04727793696E+09,+5.52711255010E+00,-1.93721527528E+00,-2.44503338797E+01,-2.25781970315E+01
6.08595988539E+09,+3.96802871926E+00,+2.45389030166E+00,+2.83784557306E+01,-9.61429814844E+00
6.12464183381E+09,+3.21799452425E+00,+1.07223049652E+00,+2.23597715349E+00,+4.02718383614E+01
6.16332378223E+09,-3.89077608341E-01,-3.66515795006E-01,+1.78927743608E+01,-2.14797034597E+01
6.20200573066E+09,-1.81362867475E+00,-1.76892601136E+00,+4.92895945179E+01,-7.05503215097E+01
6.24068767908E+09,+7.70046287042E-01,-9.91819084579E-01,+1.57415026116E+01,+2.59690186357E+01
